开始时间,日计划制定时间,计划负荷预测_kWh,计划光伏预测_kWh,实际负荷_kWh,实际光伏_kWh,实际净负荷_kWh,计划净负荷误差_kWh,执行时负荷预测_kWh,执行时光伏预测_kWh,执行时净负荷误差_kWh,段初SOC_kWh,段末SOC_kWh,实际存入_kWh,实际送达_kWh,弃光_kWh,弃购电_kWh,当段累计备用需求_送达kWh,窗口最大规划备用缺口_kWh,当段规划供电缺口_kWh,母线平衡残差_kWh,SOC递推残差_kWh
2025-02-01T14:30:00,2025-02-01T00:00:00,610.4377635956881,764.2705357142858,610.8116666666666,727.3999999999999,-116.58833333333325,37.24443878526438,568.2417333333335,764.2705357142858,79.44046904761899,9316.732303413548,9421.661803412548,104.92949999899993,0.0,0.0,0.0,6800.633773333335,10658.028119999997,0.0,1.1111183084722143e-09,-1.8474111129762605e-13
2025-02-01T14:40:00,2025-02-01T00:00:00,619.3136456740532,722.5709476190476,571.6230833333333,684.0674,-112.44431666666674,-9.187014721672313,577.0857000000001,722.5709476190476,33.04093095238079,9421.661803412548,9522.861688411547,101.19988499900006,0.0,0.0,0.0,6612.092190000003,10658.028119999997,0.0,1.1111183084722143e-09,-5.115907697472721e-13
2025-02-01T14:50:00,2025-02-01T00:00:00,615.6947367463601,676.7672238095238,554.5942,648.3614333333333,-93.76723333333325,-32.69474627016962,572.9593833333333,676.7672238095238,10.040607142857198,9522.861688411547,9607.252198410548,84.3905099989999,0.0,0.0,0.0,6478.597746666668,10658.028119999997,0.0,1.1111325193269295e-09,7.389644451905042e-13
2025-02-01T15:00:00,2025-02-01T00:00:00,604.5415774322603,628.5464285714286,578.9233333333333,614.7249999999999,-35.80166666666662,-11.796815527498325,558.9006749999999,628.5464285714286,33.844086904762094,9607.252198410548,9639.473698409547,32.22149999899995,0.0,0.0,0.0,6370.281846666669,10658.028119999997,0.0,1.1111183084722143e-09,-7.460698725481052e-13
2025-02-01T15:10:00,2025-02-01T00:00:00,633.0409551952007,589.8902928571429,593.8219999999999,565.39285,28.429149999999936,-14.721512338057892,587.3706891666666,589.8902928571429,30.948753690476224,9639.473698409547,9652.723059512798,13.249361103252113,0.0,0.0,0.0,6211.850596666669,10658.028119999997,0.0,1.1111005449038203e-09,-6.821210263296962e-13
2025-02-01T15:20:00,2025-02-01T00:00:00,637.8970660270675,547.9629119047619,603.3700333333334,505.4359666666667,97.9340666666667,7.999912544361109,592.1982408333332,547.9629119047619,53.69873773809536,9652.723059512798,9643.834267807953,0.0,7.999912534361109,0.0,0.0,6034.768073333336,10658.028119999997,0.0,-1.0000007932831068e-08,6.146194664324867e-13
2025-02-01T15:30:00,2025-02-01T00:00:00,609.7670269656707,498.8955357142857,608.655,450.63749999999993,158.01750000000004,47.14600874861509,564.040425,498.8955357142857,92.87261071428571,9643.834267807953,9591.449813653937,0.0,47.14600873861503,0.0,0.0,5884.098503333336,10658.028119999997,0.0,-1.0000007932831068e-08,1.3500311979441904e-13
2025-02-01T15:40:00,2025-02-01T00:00:00,604.2070061117489,450.80080000000004,596.78865,413.62829999999997,183.16035,29.75414388825112,559.7348966666666,450.80080000000004,74.22625333333343,9591.449813653937,9558.389653789214,0.0,29.754143878251064,0.0,0.0,5760.5599200000015,10658.028119999997,0.0,-1.0000007932831068e-08,7.389644451905042e-13
2025-02-01T15:50:00,2025-02-01T00:00:00,607.4521326455111,398.68728809523805,570.11095,375.9729,194.13805000000002,-14.626794550273075,565.1563641666667,398.68728809523805,27.668973928571404,9558.389653789214,9571.55376888346,13.164115094245744,0.0,0.0,0.0,5618.333456666669,10658.028119999997,0.0,1.1111378483974477e-09,-6.821210263296962e-13
2025-02-01T16:00:00,2025-02-01T00:00:00,598.5812910093877,342.97857142857146,548.75,328.93125,219.81875000000002,-35.783969580816176,558.5885833333334,342.97857142857146,4.208738095238061,9571.55376888346,9603.759341505194,32.20557262173452,0.0,0.0,0.0,5482.413233333336,10658.028119999997,0.0,1.1110969921901415e-09,4.547473508864641e-13
